Almeria2023 PG3-SARAH3,Almeria2023 PG3-ERA5,Almeria2023 RN-MERRA2,Almeria2023 PV-MEAS
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00283,0.002,0.008
0.20642,0.20633,0.057,0.065
0.31548000000000004,0.42507,0.096,0.106
0.62111,0.52439,0.115,0.126
0.23321,0.5229299999999999,0.124,0.135
0.08441,0.5890299999999999,0.123,0.134
0.15141,0.54561,0.106,0.116
0.05646,0.44422,0.087,0.097
0.09326999999999999,0.26298,0.047,0.055
0.0149,0.12748,0.006,0.012
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00321,0.029,0.036
0.22256,0.2393,0.248,0.266
0.46984,0.46519,0.45,0.48
0.62027,0.5977100000000001,0.574,0.612
0.73594,0.6733,0.625,0.667
0.70859,0.66138,0.591,0.63
0.65254,0.56408,0.522,0.557
0.32058,0.45076,0.414,0.441
0.51105,0.2943,0.257,0.275
0.29102,0.10554999999999999,0.064,0.072
0.00123,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00285,0.026,0.032
0.03523,0.26459,0.215,0.231
0.22013999999999997,0.41148,0.44,0.469
0.6024299999999999,0.51606,0.593,0.633
0.7044900000000001,0.55487,0.655,0.7
0.74952,0.6214,0.648,0.692
0.72061,0.53831,0.562,0.599
0.51315,0.34082,0.413,0.44
0.38426,0.25842000000000004,0.257,0.276
0.22099000000000002,0.12269,0.079,0.088
0.00079,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00302,0.081,0.091
0.20862999999999998,0.27920999999999996,0.346,0.37
0.45027,0.48512,0.518,0.553
0.60682,0.59441,0.622,0.663
0.70512,0.6083200000000001,0.674,0.72
0.75371,0.6334,0.676,0.722
0.74554,0.5692,0.626,0.668
0.6538200000000001,0.5597799999999999,0.527,0.563
0.50059,0.39509,0.341,0.364
0.29897,0.17629,0.123,0.134
0.00219,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00311,0.038,0.046
0.20419,0.24549,0.188,0.203
0.24269,0.48268,0.228,0.245
0.6005499999999999,0.62664,0.278,0.298
0.7263200000000001,0.71699,0.347,0.37
0.73621,0.70709,0.377,0.402
0.47651,0.55106,0.361,0.385
0.6210800000000001,0.41339,0.325,0.347
0.5239199999999999,0.36786,0.228,0.245
0.26971,0.1718,0.078,0.087
0.00275,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0035800000000000003,0.059,0.068
0.21056,0.26414,0.283,0.303
0.44407,0.44644,0.401,0.428
0.6083099999999999,0.57801,0.449,0.479
0.71949,0.5575,0.504,0.537
0.75793,0.6354,0.49,0.523
0.7200599999999999,0.57923,0.439,0.468
0.50786,0.5139600000000001,0.345,0.369
0.48255000000000003,0.33315,0.202,0.217
0.0545,0.13741,0.057,0.065
0.00082,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00257,0.005,0.011
0.22519,0.15938,0.073,0.082
0.35860000000000003,0.30225,0.171,0.185
0.34847,0.27364,0.297,0.318
0.17128,0.35031,0.392,0.418
0.33332999999999996,0.47636,0.423,0.451
0.20832,0.43687,0.415,0.443
0.12624,0.35908,0.371,0.396
0.23834,0.20611000000000002,0.262,0.281
0.31662,0.11259000000000001,0.088,0.098
0.0049900000000000005,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.004030000000000001,0.102,0.114
0.2176,0.29405000000000003,0.362,0.387
0.44339,0.50349,0.532,0.568
0.6014700000000001,0.63893,0.641,0.684
0.70412,0.72664,0.694,0.741
0.75111,0.7525,0.694,0.742
0.7419600000000001,0.7124299999999999,0.645,0.688
0.6604500000000001,0.60775,0.54,0.576
0.50936,0.43699,0.375,0.4
0.30919,0.20907,0.149,0.162
0.0060999999999999995,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.06676,0.097,0.108
0.20647,0.28718,0.346,0.37
0.43457,0.50224,0.517,0.551
0.59648,0.6514099999999999,0.628,0.67
0.70708,0.73564,0.684,0.73
0.74561,0.7528400000000001,0.687,0.733
0.73491,0.6850700000000001,0.638,0.681
0.6466900000000001,0.59362,0.534,0.57
0.5026700000000001,0.43593,0.366,0.391
0.29460000000000003,0.20864,0.142,0.155
0.0067599999999999995,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.04951,0.062,0.03809526865881033
0.20668999999999998,0.19666999999999998,0.294,0.26738008808321306
0.43822000000000005,0.38155,0.482,0.501502187049062
0.60194,0.514,0.55,0.6577685335497836
0.71146,0.52525,0.59,0.7396635627104378
0.7481,0.53679,0.586,0.7540879404160654
