time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20231026:1509,224.18,276.4,22.48,23.45,5.45,0.0,0.22418000000000002
20231026:1609,157.58,208.27,12.25,22.9,5.24,0.0,0.15758000000000003
20231026:1709,0.0,0.0,0.0,21.77,4.69,0.0,0.0
20231026:1809,0.0,0.0,0.0,20.67,4.28,0.0,0.0
20231026:1909,0.0,0.0,0.0,20.03,4.41,0.0,0.0
20231026:2009,0.0,0.0,0.0,19.52,4.55,0.0,0.0
20231026:2109,0.0,0.0,0.0,19.03,4.48,0.0,0.0
20231026:2209,0.0,0.0,0.0,18.76,4.21,0.0,0.0
20231026:2309,0.0,0.0,0.0,18.45,3.93,0.0,0.0
20231027:0009,0.0,0.0,0.0,18.21,3.66,0.0,0.0
20231027:0109,0.0,0.0,0.0,18.04,3.59,0.0,0.0
20231027:0209,0.0,0.0,0.0,17.73,3.45,0.0,0.0
20231027:0309,0.0,0.0,0.0,17.56,3.31,0.0,0.0
20231027:0409,0.0,0.0,0.0,17.36,3.24,0.0,0.0
20231027:0509,0.0,0.0,0.0,17.21,3.1,0.0,0.0
20231027:0609,0.0,0.0,0.0,17.14,3.03,0.0,0.0
20231027:0709,39.25,63.51,7.08,17.48,2.83,0.0,0.03925
20231027:0809,73.39,101.54,17.77,18.25,2.41,0.0,0.07339
20231027:0909,144.68,183.44,27.22,19.24,2.41,0.0,0.14468
20231027:1009,96.41,129.09,34.7,20.26,2.41,0.0,0.09641
20231027:1109,143.66,183.45,39.31,20.59,2.83,0.0,0.14366
20231027:1209,211.23,260.99,40.2,21.2,3.38,0.0,0.21123
20231027:1309,265.18,322.45,37.19,21.52,3.72,0.0,0.26518
20231027:1409,558.12,667.55,30.88,21.99,3.79,0.0,0.55812
20231027:1509,401.82,482.82,22.21,22.05,3.86,0.0,0.40182
20231027:1609,183.76,240.69,12.01,21.47,3.59,0.0,0.18375999999999998
20231027:1709,0.0,0.0,0.0,20.43,2.69,0.0,0.0
20231027:1809,0.0,0.0,0.0,19.49,1.79,0.0,0.0
20231027:1909,0.0,0.0,0.0,18.51,0.9,0.0,0.0
20231027:2009,0.0,0.0,0.0,17.49,1.17,0.0,0.0
20231027:2109,0.0,0.0,0.0,16.8,1.45,0.0,0.0
20231027:2209,0.0,0.0,0.0,16.42,1.38,0.0,0.0
20231027:2309,0.0,0.0,0.0,16.2,1.31,0.0,0.0
20231028:0009,0.0,0.0,0.0,15.45,1.45,0.0,0.0
20231028:0109,0.0,0.0,0.0,15.16,1.45,0.0,0.0
20231028:0209,0.0,0.0,0.0,14.84,1.38,0.0,0.0
20231028:0309,0.0,0.0,0.0,14.23,1.45,0.0,0.0
20231028:0409,0.0,0.0,0.0,13.66,1.45,0.0,0.0
20231028:0509,0.0,0.0,0.0,13.25,1.52,0.0,0.0
20231028:0609,0.0,0.0,0.0,13.26,1.45,0.0,0.0
20231028:0709,90.35,130.55,6.87,14.17,1.31,0.0,0.09035
20231028:0809,328.89,397.6,17.53,16.21,0.62,0.0,0.32888999999999996
20231028:0909,514.71,625.18,26.95,18.18,0.48,0.0,0.51471
20231028:1009,646.58,789.99,34.4,19.25,1.45,0.0,0.64658
20231028:1109,723.87,890.85,38.98,20.0,2.0,0.0,0.72387
20231028:1209,749.4,917.97,39.86,20.59,2.76,0.0,0.7494
20231028:1309,695.21,840.72,36.87,20.92,3.31,0.0,0.69521
20231028:1409,586.95,700.75,30.58,21.03,3.66,0.0,0.5869500000000001
20231028:1509,414.77,495.6,21.95,20.68,3.72,0.0,0.41476999999999997
20231028:1609,192.52,250.43,11.77,19.89,3.38,0.0,0.19252
20231028:1709,0.0,0.0,0.0,18.78,2.9,0.0,0.0
20231028:1809,0.0,0.0,0.0,17.84,2.62,0.0,0.0
20231028:1909,0.0,0.0,0.0,17.48,2.34,0.0,0.0
20231028:2009,0.0,0.0,0.0,16.82,2.21,0.0,0.0
20231028:2109,0.0,0.0,0.0,16.02,2.14,0.0,0.0
20231028:2209,0.0,0.0,0.0,15.4,2.21,0.0,0.0
20231028:2309,0.0,0.0,0.0,14.88,2.0,0.0,0.0
20231029:0009,0.0,0.0,0.0,14.27,2.14,0.0,0.0
20231029:0109,0.0,0.0,0.0,13.59,2.28,0.0,0.0
20231029:0209,0.0,0.0,0.0,13.05,2.21,0.0,0.0
20231029:0309,0.0,0.0,0.0,12.44,2.0,0.0,0.0
20231029:0409,0.0,0.0,0.0,11.83,1.93,0.0,0.0
20231029:0509,0.0,0.0,0.0,11.38,1.93,0.0,0.0
20231029:0609,0.0,0.0,0.0,11.07,1.86,0.0,0.0
20231029:0709,86.1,124.21,6.66,12.21,1.52,0.0,0.0861
20231029:0809,328.53,394.38,17.3,15.29,0.97,0.0,0.32853
20231029:0909,505.74,602.06,26.68,17.7,1.72,0.0,0.50574
20231029:1009,630.19,757.2,34.1,19.02,2.41,0.0,0.63019
20231029:1109,732.46,888.54,38.65,20.27,3.17,0.0,0.73246
20231029:1209,729.64,884.61,39.53,21.03,3.59,0.0,0.72964
20231029:1309,531.64,635.4,36.55,21.43,3.72,0.0,0.53164
20231029:1409,551.96,660.54,30.29,21.61,3.52,0.0,0.55196
20231029:1509,179.46,224.35,21.69,21.33,3.24,0.0,0.17946
20231029:1609,17.48,33.97,11.53,20.4,3.03,0.0,0.01748
20231029:1709,0.0,0.0,0.0,19.18,2.62,0.0,0.0
20231029:1809,0.0,0.0,0.0,18.31,2.21,0.0,0.0
20231029:1909,0.0,0.0,0.0,17.46,2.14,0.0,0.0
20231029:2009,0.0,0.0,0.0,16.65,2.07,0.0,0.0
20231029:2109,0.0,0.0,0.0,16.05,2.07,0.0,0.0
20231029:2209,0.0,0.0,0.0,15.76,2.41,0.0,0.0
20231029:2309,0.0,0.0,0.0,15.78,2.9,0.0,0.0
20231030:0009,0.0,0.0,0.0,16.0,3.03,0.0,0.0
20231030:0109,0.0,0.0,0.0,16.27,2.83,0.0,0.0
20231030:0209,0.0,0.0,0.0,16.44,2.76,0.0,0.0
20231030:0309,0.0,0.0,0.0,16.61,2.97,0.0,0.0
20231030:0409,0.0,0.0,0.0,16.67,3.17,0.0,0.0
20231030:0509,0.0,0.0,0.0,16.26,2.62,0.0,0.0
20231030:0609,0.0,0.0,0.0,15.58,2.41,0.0,0.0
20231030:0709,47.16,74.15,6.45,15.51,2.97,0.0,0.047159999999999994
20231030:0809,325.86,387.81,17.07,16.6,3.59,0.0,0.32586000000000004
20231030:0909,516.37,602.77,26.42,18.17,4.41,0.0,0.51637
20231030:1009,650.94,766.2,33.81,19.32,4.83,0.0,0.6509400000000001
20231030:1109,724.85,859.43,38.33,20.36,5.45,0.0,0.72485
20231030:1209,721.88,855.61,39.2,21.07,6.07,0.0,0.72188
20231030:1309,674.95,798.34,36.23,21.57,6.14,0.0,0.67495
20231030:1409,518.92,610.74,30.01,21.47,5.93,0.0,0.5189199999999999
20231030:1509,294.23,352.89,21.43,20.86,5.31,0.0,0.29423
20231030:1609,119.71,160.43,11.3,20.01,4.55,0.0,0.11971
20231030:1709,0.0,0.0,0.0,19.16,3.66,0.0,0.0
20231030:1809,0.0,0.0,0.0,18.63,2.97,0.0,0.0
20231030:1909,0.0,0.0,0.0,18.66,1.66,0.0,0.0
20231030:2009,0.0,0.0,0.0,17.97,1.31,0.0,0.0
20231030:2109,0.0,0.0,0.0,17.08,1.24,0.0,0.0
20231030:2209,0.0,0.0,0.0,16.42,1.38,0.0,0.0
