time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20230113:2030,0.0,0.0,0.0,11.97,1.03,0.0,0.0
20230113:2130,0.0,0.0,0.0,11.62,1.03,0.0,0.0
20230113:2230,0.0,0.0,0.0,11.18,1.17,0.0,0.0
20230113:2330,0.0,0.0,0.0,10.88,1.24,0.0,0.0
20230114:0030,0.0,0.0,0.0,10.69,1.31,0.0,0.0
20230114:0130,0.0,0.0,0.0,10.32,1.31,0.0,0.0
20230114:0230,0.0,0.0,0.0,10.01,1.31,0.0,0.0
20230114:0330,0.0,0.0,0.0,9.29,1.45,0.0,0.0
20230114:0430,0.0,0.0,0.0,8.81,1.38,0.0,0.0
20230114:0530,0.0,0.0,0.0,8.46,1.31,0.0,0.0
20230114:0630,0.0,0.0,0.0,8.24,1.31,0.0,0.0
20230114:0730,1.83,9.66,0.56,9.53,1.03,0.0,0.00183
20230114:0830,175.16,215.19,10.69,9.69,0.97,0.0,0.17516
20230114:0930,411.15,479.18,19.49,11.24,0.48,0.0,0.41114999999999996
20230114:1030,538.44,633.26,26.37,13.18,0.9,0.0,0.53844
20230114:1130,583.22,685.39,30.64,14.31,1.59,0.0,0.5832200000000001
20230114:1230,586.68,687.93,31.69,15.01,2.0,0.0,0.58668
20230114:1330,626.71,736.56,29.37,15.39,2.41,0.0,0.62671
20230114:1430,456.03,530.77,24.03,16.04,2.69,0.0,0.45603
20230114:1530,357.81,423.61,16.34,16.12,2.76,0.0,0.35781
20230114:1630,14.76,29.73,6.98,15.71,2.48,0.0,0.01476
20230114:1730,0.0,0.0,-3.53,14.64,1.79,0.0,0.0
20230114:1830,0.0,0.0,0.0,13.78,1.72,0.0,0.0
20230114:1930,0.0,0.0,0.0,13.04,1.93,0.0,0.0
20230114:2030,0.0,0.0,0.0,12.03,2.14,0.0,0.0
20230114:2130,0.0,0.0,0.0,11.31,2.21,0.0,0.0
20230114:2230,0.0,0.0,0.0,10.7,2.21,0.0,0.0
20230114:2330,0.0,0.0,0.0,10.11,2.21,0.0,0.0
20230115:0030,0.0,0.0,0.0,9.76,2.28,0.0,0.0
20230115:0130,0.0,0.0,0.0,9.73,2.41,0.0,0.0
20230115:0230,0.0,0.0,0.0,9.14,2.55,0.0,0.0
20230115:0330,0.0,0.0,0.0,8.66,2.55,0.0,0.0
20230115:0430,0.0,0.0,0.0,8.1,2.55,0.0,0.0
20230115:0530,0.0,0.0,0.0,7.52,2.55,0.0,0.0
20230115:0630,0.0,0.0,0.0,7.1,2.55,0.0,0.0
20230115:0730,1.46,8.88,0.61,7.46,2.34,0.0,0.00146
20230115:0830,238.76,283.57,10.76,7.58,2.21,0.0,0.23876
20230115:0930,455.68,522.09,19.59,10.35,1.93,0.0,0.45568000000000003
20230115:1030,588.96,693.08,26.5,14.97,1.86,0.0,0.58896
20230115:1130,667.85,795.51,30.8,17.4,2.55,0.0,0.66785
20230115:1230,682.51,813.21,31.88,18.51,3.17,0.0,0.68251
20230115:1330,633.09,750.97,29.57,19.06,3.38,0.0,0.63309
20230115:1430,529.94,626.65,24.23,19.33,3.24,0.0,0.5299400000000001
20230115:1530,356.16,427.72,16.54,19.21,2.76,0.0,0.35616000000000003
