time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20191108:1430,203.99,242.71,13.95,10.16,1.38,0.0,0.20399
20191108:1530,6.5,17.51,5.36,9.65,1.17,0.0,0.0065
20191108:1630,0.0,0.0,-4.27,9.2,0.76,0.0,0.0
20191108:1730,0.0,0.0,0.0,8.92,0.69,0.0,0.0
20191108:1830,0.0,0.0,0.0,8.45,0.83,0.0,0.0
20191108:1930,0.0,0.0,0.0,8.15,0.76,0.0,0.0
20191108:2030,0.0,0.0,0.0,8.15,0.83,0.0,0.0
20191108:2130,0.0,0.0,0.0,8.24,0.55,0.0,0.0
20191108:2230,0.0,0.0,0.0,7.94,0.76,0.0,0.0
20191108:2330,0.0,0.0,0.0,6.44,1.17,0.0,0.0
20191109:0030,0.0,0.0,0.0,5.79,1.24,0.0,0.0
20191109:0130,0.0,0.0,0.0,4.9,1.24,0.0,0.0
20191109:0230,0.0,0.0,0.0,3.66,1.66,0.0,0.0
20191109:0330,0.0,0.0,0.0,3.01,1.86,0.0,0.0
20191109:0430,0.0,0.0,0.0,2.83,1.86,0.0,0.0
20191109:0530,0.0,0.0,0.0,2.54,1.79,0.0,0.0
20191109:0630,1.25,8.34,0.99,2.19,1.59,0.0,0.00125
20191109:0730,89.38,123.66,10.08,2.31,1.52,0.0,0.08938
20191109:0830,280.44,330.1,17.87,4.23,1.31,0.0,0.28044
20191109:0930,444.45,522.11,23.82,6.65,0.97,0.0,0.44445
20191109:1030,563.57,689.87,27.35,8.81,0.28,0.0,0.56357
20191109:1130,600.39,745.68,28.01,10.35,0.41,0.0,0.60039
20191109:1230,592.42,732.9,25.71,11.14,0.69,0.0,0.59242
20191109:1330,540.66,659.07,20.77,11.48,0.9,0.0,0.5406599999999999
20191109:1430,396.27,472.28,13.73,11.45,1.03,0.0,0.39626999999999996
20191109:1530,174.97,217.1,5.15,10.91,0.83,0.0,0.17497
20191109:1630,0.0,0.0,-4.46,9.53,0.69,0.0,0.0
20191109:1730,0.0,0.0,0.0,9.04,0.69,0.0,0.0
20191109:1830,0.0,0.0,0.0,8.43,0.9,0.0,0.0
20191109:1930,0.0,0.0,0.0,8.84,0.9,0.0,0.0
20191109:2030,0.0,0.0,0.0,7.05,1.17,0.0,0.0
20191109:2130,0.0,0.0,0.0,6.3,1.31,0.0,0.0
20191109:2230,0.0,0.0,0.0,6.25,1.31,0.0,0.0
20191109:2330,0.0,0.0,0.0,5.83,1.31,0.0,0.0
20191110:0030,0.0,0.0,0.0,5.58,1.31,0.0,0.0
20191110:0130,0.0,0.0,0.0,5.68,1.31,0.0,0.0
20191110:0230,0.0,0.0,0.0,5.82,1.24,0.0,0.0
20191110:0330,0.0,0.0,0.0,5.91,1.17,0.0,0.0
20191110:0430,0.0,0.0,0.0,5.92,1.1,0.0,0.0
20191110:0530,0.0,0.0,0.0,6.0,1.03,0.0,0.0
20191110:0630,0.0,2.97,0.76,5.95,1.1,0.0,0.0
20191110:0730,16.21,30.69,9.84,6.05,0.55,0.0,0.016210000000000002
20191110:0830,38.16,57.6,17.61,6.62,0.21,0.0,0.03816
20191110:0930,80.1,105.61,23.54,7.18,0.07,0.0,0.08009999999999999
20191110:1030,65.65,89.54,27.06,7.75,0.14,0.0,0.06565
20191110:1130,125.77,155.44,27.73,7.91,0.28,0.0,0.12577
20191110:1230,242.5,284.13,25.45,8.38,0.28,0.0,0.2425
20191110:1330,144.82,176.78,20.53,8.86,0.34,0.0,0.14482
20191110:1430,83.75,109.65,13.5,9.0,0.34,0.0,0.08375
