time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20200112:1810,0.0,0.0,0.0,3.62,0.97,0.0,0.0
20200112:1910,0.0,0.0,0.0,3.72,0.9,0.0,0.0
20200112:2010,0.0,0.0,0.0,3.12,1.03,0.0,0.0
20200112:2110,0.0,0.0,0.0,2.5,1.03,0.0,0.0
20200112:2210,0.0,0.0,0.0,2.02,0.97,0.0,0.0
20200112:2310,0.0,0.0,0.0,1.76,0.76,0.0,0.0
20200113:0010,0.0,0.0,0.0,1.29,0.62,0.0,0.0
20200113:0110,0.0,0.0,0.0,0.64,0.55,0.0,0.0
20200113:0210,0.0,0.0,0.0,0.14,0.48,0.0,0.0
20200113:0310,0.0,0.0,0.0,-0.14,0.55,0.0,0.0
20200113:0410,0.0,0.0,0.0,-0.25,0.62,0.0,0.0
20200113:0510,0.0,0.0,0.0,-0.24,0.69,0.0,0.0
20200113:0610,0.0,0.0,0.0,-0.22,0.76,0.0,0.0
20200113:0710,0.0,0.0,0.0,-0.42,0.76,0.0,0.0
20200113:0810,131.28,176.55,8.46,-0.18,0.62,0.0,0.13128
20200113:0910,328.31,382.58,15.49,0.86,0.48,0.0,0.32831
20200113:1010,445.27,517.14,20.54,2.93,0.48,0.0,0.44527
20200113:1110,539.75,639.51,23.16,4.24,0.41,0.0,0.53975
20200113:1210,598.19,720.33,23.03,4.94,0.41,0.0,0.59819
20200113:1310,559.99,668.81,20.16,5.23,0.41,0.0,0.55999
20200113:1410,430.14,500.99,14.9,4.94,0.41,0.0,0.43013999999999997
20200113:1510,201.67,236.93,7.72,4.04,0.28,0.0,0.20167
20200113:1610,0.0,0.0,0.0,2.68,0.48,0.0,0.0
20200113:1710,0.0,0.0,0.0,1.85,0.69,0.0,0.0
20200113:1810,0.0,0.0,0.0,1.44,0.55,0.0,0.0
20200113:1910,0.0,0.0,0.0,0.86,0.48,0.0,0.0
20200113:2010,0.0,0.0,0.0,0.58,0.69,0.0,0.0
20200113:2110,0.0,0.0,0.0,0.58,0.62,0.0,0.0
20200113:2210,0.0,0.0,0.0,0.65,0.48,0.0,0.0
